Cell	Group	ExpLibSize
Cell206	Cell206	Group1	167263.242137257
Cell207	Cell207	Group1	217400.786315202
Cell208	Cell208	Group1	177078.743766299
Cell209	Cell209	Group1	225232.882455061
Cell210	Cell210	Group1	295403.021175751
Cell211	Cell211	Group1	162373.219946979
Cell212	Cell212	Group1	1093946.94513227
Cell213	Cell213	Group1	351088.930473914
Cell214	Cell214	Group1	313562.783663051
Cell215	Cell215	Group1	441210.703726435
Cell216	Cell216	Group1	336833.954348679
Cell217	Cell217	Group1	304823.885542457
Cell218	Cell218	Group1	786456.572658332
Cell219	Cell219	Group1	289945.788863952
Cell220	Cell220	Group1	154681.259124747
Cell221	Cell221	Group1	413537.814658901
Cell222	Cell222	Group1	267861.216527562
Cell223	Cell223	Group1	242294.417483582
Cell224	Cell224	Group1	175616.485051626
Cell225	Cell225	Group1	424071.788008869
Cell226	Cell226	Group1	297386.524124041
Cell227	Cell227	Group1	446452.5215258
Cell228	Cell228	Group1	286999.858619931
Cell229	Cell229	Group1	223546.18610594
Cell230	Cell230	Group1	688196.450183465
Cell231	Cell231	Group1	280745.891567628
Cell232	Cell232	Group1	575935.511075161
Cell233	Cell233	Group1	162338.751317054
Cell234	Cell234	Group1	250373.846228024
Cell235	Cell235	Group1	281145.148757885
Cell236	Cell236	Group1	261707.41599143
Cell237	Cell237	Group1	729299.261587688
Cell238	Cell238	Group1	325101.540915938
Cell239	Cell239	Group1	380476.401334277
Cell240	Cell240	Group1	189121.303793614
Cell241	Cell241	Group1	214424.964782476
Cell242	Cell242	Group1	593193.129637932
Cell243	Cell243	Group1	691547.317542116
Cell244	Cell244	Group1	687640.063989783
Cell245	Cell245	Group1	146087.022356757
Cell246	Cell246	Group1	1102349.56166001
Cell247	Cell247	Group1	599800.794635926
Cell248	Cell248	Group1	324345.387304
Cell249	Cell249	Group1	498722.720336438
Cell250	Cell250	Group1	185916.285820653
Cell251	Cell251	Group1	172740.893454345
Cell252	Cell252	Group1	339150.693869239
Cell253	Cell253	Group1	162634.205085911
Cell254	Cell254	Group1	368518.310703346
Cell255	Cell255	Group1	707713.204670446
Cell256	Cell256	Group1	179196.675806098
Cell257	Cell257	Group1	213263.017344142
Cell258	Cell258	Group1	338654.260537546
Cell259	Cell259	Group1	180923.309269297
Cell260	Cell260	Group1	262894.381075257
Cell261	Cell261	Group1	550978.99986788
Cell262	Cell262	Group1	583308.578150375
Cell263	Cell263	Group1	413094.367606815
Cell264	Cell264	Group1	110695.14756122
Cell265	Cell265	Group1	319174.663671467
Cell266	Cell266	Group1	616967.376363435
Cell267	Cell267	Group1	531981.722110862
Cell268	Cell268	Group1	294458.101591966
Cell269	Cell269	Group1	67154.4371381683
Cell270	Cell270	Group1	341539.886137378
Cell271	Cell271	Group1	461993.51756434
Cell272	Cell272	Group1	338502.599444125
Cell273	Cell273	Group1	361507.083421684
Cell274	Cell274	Group1	424871.847937187
Cell275	Cell275	Group1	260847.871088331
Cell276	Cell276	Group1	712848.327653292
Cell277	Cell277	Group1	434702.346838198
Cell278	Cell278	Group1	158456.480573883
Cell279	Cell279	Group1	743558.362768597
Cell280	Cell280	Group1	669885.157419796
Cell281	Cell281	Group1	535402.075308573
Cell282	Cell282	Group1	123727.083587741
Cell283	Cell283	Group1	235606.929343364
Cell284	Cell284	Group1	479112.527781292
Cell285	Cell285	Group1	338087.757157541
Cell286	Cell286	Group1	404465.203070355
Cell287	Cell287	Group1	1403209.82805116
Cell288	Cell288	Group1	203452.607686289
Cell289	Cell289	Group1	94882.8386828974
Cell290	Cell290	Group1	387139.410559532
Cell291	Cell291	Group1	219747.430474802
Cell292	Cell292	Group1	428510.544369581
Cell293	Cell293	Group1	204172.48577863
Cell294	Cell294	Group1	1212804.43841754
Cell295	Cell295	Group1	306332.813621614
Cell296	Cell296	Group1	248724.467726179
Cell297	Cell297	Group1	298748.561824756
Cell298	Cell298	Group1	547680.713898262
Cell299	Cell299	Group1	348937.434820558
Cell300	Cell300	Group1	126454.51788204
Cell301	Cell301	Group1	328595.110294636
Cell302	Cell302	Group1	515642.713318248
Cell303	Cell303	Group1	337146.774094425
Cell304	Cell304	Group1	508053.225115327
Cell305	Cell305	Group1	302251.693117518
Cell306	Cell306	Group1	318443.957080397
Cell307	Cell307	Group1	437780.10783725
Cell308	Cell308	Group1	591404.776287805
Cell309	Cell309	Group1	158109.118705446
Cell310	Cell310	Group1	323054.375166683
Cell311	Cell311	Group1	316000.560947893
Cell312	Cell312	Group1	210705.480235848
Cell313	Cell313	Group1	179145.41608217
Cell314	Cell314	Group1	227233.579095374
Cell315	Cell315	Group1	465560.605471799
Cell316	Cell316	Group1	257827.03652271
Cell317	Cell317	Group1	207506.743933015
Cell318	Cell318	Group1	362787.954971781
Cell319	Cell319	Group1	159013.442128237
Cell320	Cell320	Group1	610136.263628705
Cell321	Cell321	Group1	247662.974628642
Cell322	Cell322	Group1	368325.104001262
Cell323	Cell323	Group1	339541.697762827
Cell324	Cell324	Group1	329444.097710375
Cell325	Cell325	Group1	956682.96030825
Cell326	Cell326	Group1	202621.595394187
Cell327	Cell327	Group1	647006.041621178
Cell328	Cell328	Group1	335676.707535705
Cell329	Cell329	Group1	201445.937726985
Cell330	Cell330	Group1	316410.102302939
Cell331	Cell331	Group1	511566.980329339
Cell332	Cell332	Group1	256434.036741976
Cell333	Cell333	Group1	209078.069718075
Cell334	Cell334	Group1	360518.474064021
Cell335	Cell335	Group1	589892.282824287
Cell336	Cell336	Group1	315536.221426857
Cell337	Cell337	Group1	145538.167549131
Cell338	Cell338	Group1	152592.913292116
Cell339	Cell339	Group1	209532.679270685
Cell340	Cell340	Group1	241537.374508601
Cell341	Cell341	Group1	325357.826385463
Cell342	Cell342	Group1	489089.274127792
Cell343	Cell343	Group1	255063.254238171
Cell344	Cell344	Group1	170946.671409037
Cell345	Cell345	Group1	471161.15141003
Cell346	Cell346	Group1	387541.404594252
Cell347	Cell347	Group1	651548.773197137
Cell348	Cell348	Group1	122288.563350412
Cell349	Cell349	Group1	346883.482970824
Cell350	Cell350	Group1	731301.915244074
Cell351	Cell351	Group1	504801.813200389
Cell352	Cell352	Group1	201761.022659403
Cell353	Cell353	Group1	507292.48233645
Cell354	Cell354	Group1	197134.912542007
Cell355	Cell355	Group1	252256.851697832
Cell356	Cell356	Group1	663239.27271203
Cell357	Cell357	Group1	277722.160758213
Cell358	Cell358	Group1	536814.507054413
Cell359	Cell359	Group1	277545.127667176
Cell360	Cell360	Group1	130177.497186856
Cell361	Cell361	Group1	199837.259741834
Cell362	Cell362	Group1	173519.746829735
Cell363	Cell363	Group1	247707.455685864
Cell364	Cell364	Group1	270270.805012877
Cell365	Cell365	Group1	301028.191277034
Cell366	Cell366	Group1	285502.071290221
Cell367	Cell367	Group1	1004516.96614938
Cell368	Cell368	Group1	145626.351329631
Cell369	Cell369	Group1	258054.719626397
Cell370	Cell370	Group1	404720.051890701
Cell371	Cell371	Group1	859953.885536552
Cell372	Cell372	Group1	347129.366352127
Cell373	Cell373	Group1	683716.619094319
Cell374	Cell374	Group1	125051.503693331
Cell375	Cell375	Group1	772483.2944635
Cell376	Cell376	Group1	219364.146502662
Cell377	Cell377	Group1	279975.01553997
Cell378	Cell378	Group1	171396.515213752
Cell379	Cell379	Group1	356527.760525273
Cell380	Cell380	Group1	943228.065909795
Cell381	Cell381	Group1	1372607.03335084
Cell382	Cell382	Group1	174718.945885564
Cell383	Cell383	Group1	438702.205666595
Cell384	Cell384	Group1	746607.326010482
Cell385	Cell385	Group1	293619.653050335
Cell386	Cell386	Group1	289750.348062922
Cell387	Cell387	Group1	275338.422373351
Cell388	Cell388	Group1	468594.230519433
Cell389	Cell389	Group1	750535.51400233
Cell390	Cell390	Group1	494047.458575555
Cell391	Cell391	Group1	397889.434400191
Cell392	Cell392	Group1	275810.521692768
Cell393	Cell393	Group1	441920.610832631
Cell394	Cell394	Group1	238366.93096561
Cell395	Cell395	Group1	279509.390396403
Cell396	Cell396	Group1	628612.247761337
Cell397	Cell397	Group1	427494.932409605
Cell398	Cell398	Group1	379757.684009647
Cell399	Cell399	Group1	283430.698348651
Cell400	Cell400	Group1	570223.563440489
Cell401	Cell401	Group1	723396.682845437
Cell402	Cell402	Group1	197443.501883004
Cell403	Cell403	Group1	340439.127857296
Cell404	Cell404	Group1	339153.982990768
Cell405	Cell405	Group1	234354.233037991
Cell406	Cell406	Group1	182944.410882991
Cell407	Cell407	Group1	329018.93056034
Cell408	Cell408	Group1	484790.353327794
Cell409	Cell409	Group1	786481.988069573
Cell410	Cell410	Group1	107002.158678966
Cell411	Cell411	Group1	217834.350224179
Cell412	Cell412	Group1	274261.507546504
Cell413	Cell413	Group1	123688.631377275
Cell414	Cell414	Group1	211749.148816497
Cell415	Cell415	Group1	208430.029821014
Cell416	Cell416	Group1	215266.331168589
Cell417	Cell417	Group1	90747.9500327423
Cell418	Cell418	Group1	373633.470395913
Cell419	Cell419	Group1	227074.203704631
Cell420	Cell420	Group1	806967.825128049
Cell421	Cell421	Group1	526606.413808851
Cell422	Cell422	Group1	139946.588184165
Cell423	Cell423	Group1	349154.357196115
Cell424	Cell424	Group1	232235.633574799
Cell425	Cell425	Group1	556041.57229805
Cell426	Cell426	Group1	339954.82167807
Cell427	Cell427	Group1	237317.931371783
Cell428	Cell428	Group1	426585.230846505
Cell429	Cell429	Group1	360485.354586578
Cell430	Cell430	Group1	299038.022719695
Cell431	Cell431	Group1	1082993.87363943
Cell432	Cell432	Group1	241213.484959876
Cell433	Cell433	Group1	249685.850445686
Cell434	Cell434	Group1	132531.825956894
Cell435	Cell435	Group1	321717.48888535
Cell436	Cell436	Group1	556721.73887317
Cell437	Cell437	Group1	97249.0138853911
Cell438	Cell438	Group1	284357.657004451
Cell439	Cell439	Group1	164256.188822865
Cell440	Cell440	Group1	770474.806290938
Cell441	Cell441	Group1	733257.695697826
Cell442	Cell442	Group1	401259.023785904
Cell443	Cell443	Group1	764777.285143766
Cell444	Cell444	Group1	197670.90365256
Cell445	Cell445	Group1	576852.2279937
Cell446	Cell446	Group1	233437.133606353
Cell447	Cell447	Group1	398069.848267053
Cell448	Cell448	Group1	276212.781718672
Cell449	Cell449	Group1	279626.887985881
Cell450	Cell450	Group1	454532.728323119
Cell451	Cell451	Group1	152849.753844878
Cell452	Cell452	Group1	284215.412270522
Cell453	Cell453	Group1	364413.961133689
Cell454	Cell454	Group1	259786.999403332
Cell455	Cell455	Group1	350445.183923532
Cell456	Cell456	Group1	273060.357318997
Cell457	Cell457	Group1	854853.190667928
Cell458	Cell458	Group1	501841.097394295
Cell459	Cell459	Group1	1890822.13981211
Cell460	Cell460	Group1	206264.832568429
Cell461	Cell461	Group1	532348.79615342
Cell462	Cell462	Group1	1134012.71120605
Cell463	Cell463	Group1	393412.460144601
Cell464	Cell464	Group1	174077.210996666
Cell465	Cell465	Group1	182128.890823685
Cell466	Cell466	Group1	322687.839973251
Cell467	Cell467	Group1	712489.841101287
Cell468	Cell468	Group1	512661.75712271
Cell469	Cell469	Group1	93486.4053198076
Cell470	Cell470	Group1	218102.125775105
Cell471	Cell471	Group1	327737.574052214
Cell472	Cell472	Group1	139567.537517991
Cell473	Cell473	Group1	496062.665000424
Cell474	Cell474	Group1	77289.1136582371
Cell475	Cell475	Group1	358511.873244246
Cell476	Cell476	Group1	261667.840760263
Cell477	Cell477	Group1	246706.45415321
Cell478	Cell478	Group1	278787.30428599
Cell479	Cell479	Group1	396627.270461934
Cell480	Cell480	Group1	416142.642138607
Cell481	Cell481	Group1	288485.04351138
Cell482	Cell482	Group1	106010.95869746
Cell483	Cell483	Group1	141130.536862204
Cell484	Cell484	Group1	138623.213845757
Cell485	Cell485	Group1	516135.444353815
Cell486	Cell486	Group1	285440.224866422
Cell487	Cell487	Group1	386223.968191968
Cell488	Cell488	Group1	131521.446877203
Cell489	Cell489	Group1	240333.765057306
Cell490	Cell490	Group1	458928.345705306
Cell491	Cell491	Group1	296632.768400324
Cell492	Cell492	Group1	307883.293597114
Cell493	Cell493	Group1	315795.984492478
Cell494	Cell494	Group1	672435.743094848
Cell495	Cell495	Group1	229363.262672764
Cell496	Cell496	Group1	490713.655924386
Cell497	Cell497	Group1	559431.868256292
Cell498	Cell498	Group1	163515.919873392
Cell499	Cell499	Group1	353888.950471233
Cell500	Cell500	Group1	327319.7963346
Cell501	Cell501	Group1	604151.332836426
Cell502	Cell502	Group1	564788.171635838
Cell503	Cell503	Group1	329014.378215208
Cell504	Cell504	Group1	356977.565884806
Cell505	Cell505	Group1	215572.954927184
Cell506	Cell506	Group1	293193.147474828
Cell507	Cell507	Group1	179689.811625351
Cell508	Cell508	Group1	186402.04199838
Cell509	Cell509	Group1	160510.000925148
Cell510	Cell510	Group1	539242.892674158
Cell511	Cell511	Group1	635485.068801387
Cell512	Cell512	Group1	258340.596033632
Cell513	Cell513	Group1	169432.988605876
Cell514	Cell514	Group1	312857.340725764
Cell515	Cell515	Group1	1234318.81624731
Cell516	Cell516	Group1	1096748.10344757
Cell517	Cell517	Group1	119629.357832872
Cell518	Cell518	Group1	267011.431130746
Cell519	Cell519	Group1	813070.718937338
Cell520	Cell520	Group1	322150.398660456
Cell521	Cell521	Group1	844377.174037508
Cell522	Cell522	Group1	270705.155351067
Cell523	Cell523	Group1	470573.060466203
Cell524	Cell524	Group1	376023.272614957
Cell525	Cell525	Group1	2207957.09896826
Cell526	Cell526	Group1	566680.429299156
Cell527	Cell527	Group1	161865.413305504
Cell528	Cell528	Group1	230856.548471987
Cell529	Cell529	Group1	409795.178634123
Cell530	Cell530	Group1	107517.272638117
Cell531	Cell531	Group1	113812.684711426
Cell532	Cell532	Group1	170148.647952811
Cell533	Cell533	Group1	268427.251500845
Cell534	Cell534	Group1	683616.510589739
Cell535	Cell535	Group1	280343.645635582
Cell536	Cell536	Group1	362566.691422283
Cell537	Cell537	Group1	317185.86836367
Cell538	Cell538	Group1	217475.631843583
Cell539	Cell539	Group1	735118.265513798
Cell540	Cell540	Group1	172704.573235555
Cell541	Cell541	Group1	288004.520658861
Cell542	Cell542	Group1	268443.306579855
Cell543	Cell543	Group1	450802.948156801
Cell544	Cell544	Group1	849276.75709038
Cell545	Cell545	Group1	445965.378021071
Cell546	Cell546	Group1	743907.868885704
Cell547	Cell547	Group1	516510.669765338
Cell548	Cell548	Group1	228057.996352858
Cell549	Cell549	Group1	345705.295187697
Cell550	Cell550	Group1	741154.653569813
Cell551	Cell551	Group1	131340.401659438
Cell552	Cell552	Group1	398965.059438102
Cell553	Cell553	Group1	300420.105041431
Cell554	Cell554	Group1	552613.587899347
Cell555	Cell555	Group1	512591.117510228
Cell556	Cell556	Group1	393429.460016743
Cell557	Cell557	Group1	793915.641176953
Cell558	Cell558	Group1	134137.587372702
Cell559	Cell559	Group1	563439.828035066
Cell560	Cell560	Group1	129934.649520787
Cell561	Cell561	Group1	465809.853034141
Cell562	Cell562	Group1	347358.560591713
Cell563	Cell563	Group1	582524.470085125
Cell564	Cell564	Group1	345149.460917285
Cell565	Cell565	Group1	130766.458356447
Cell566	Cell566	Group1	100959.694405416
Cell567	Cell567	Group1	453158.039016003
Cell568	Cell568	Group1	315551.415417346
Cell569	Cell569	Group1	235369.419673457
Cell570	Cell570	Group1	274319.963031602
Cell571	Cell571	Group1	221852.262345793
Cell572	Cell572	Group1	300322.757767151
Cell573	Cell573	Group1	190358.299983117
Cell574	Cell574	Group1	102446.360897838
Cell575	Cell575	Group1	289507.209221071
Cell576	Cell576	Group1	609921.391727769
Cell577	Cell577	Group1	995754.321877119
Cell578	Cell578	Group1	329997.076673612
Cell579	Cell579	Group1	314198.534617521
Cell580	Cell580	Group1	581057.764076528
Cell581	Cell581	Group1	340055.092089658
Cell582	Cell582	Group1	255020.979004913
Cell583	Cell583	Group1	118402.600118026
Cell584	Cell584	Group1	156505.909623723
Cell585	Cell585	Group1	418596.956941567
Cell586	Cell586	Group1	139442.578792205
Cell587	Cell587	Group1	611065.609627911
Cell588	Cell588	Group1	149060.73750303
Cell589	Cell589	Group1	293980.743570247
Cell590	Cell590	Group1	329037.698090601
Cell591	Cell591	Group1	327009.867975793
Cell592	Cell592	Group1	360345.043167931
Cell593	Cell593	Group1	468781.544428772
Cell594	Cell594	Group1	305880.821889308
Cell595	Cell595	Group1	284613.999898955
Cell596	Cell596	Group1	362128.384998656
Cell597	Cell597	Group1	255209.814505042
Cell598	Cell598	Group1	815052.270738676
Cell599	Cell599	Group1	91747.1348467983
Cell600	Cell600	Group1	603391.549277184
Cell601	Cell601	Group1	284622.824886131
Cell602	Cell602	Group1	422564.155396581
Cell603	Cell603	Group1	589564.479432369
Cell604	Cell604	Group1	539039.768955956
Cell605	Cell605	Group1	223280.530325937
Cell606	Cell606	Group1	827952.821957355
Cell607	Cell607	Group1	126651.399046083
Cell608	Cell608	Group1	548110.963642542
Cell609	Cell609	Group1	243753.767535009
Cell610	Cell610	Group1	106485.742659025
Cell611	Cell611	Group1	109769.243552839
Cell612	Cell612	Group1	380690.116391468
Cell613	Cell613	Group1	1221033.55317088
Cell614	Cell614	Group1	387066.616405231
Cell615	Cell615	Group1	641432.641152693
Cell616	Cell616	Group1	540025.465970182
Cell617	Cell617	Group1	224058.815286769
Cell618	Cell618	Group1	577977.905038502
Cell619	Cell619	Group1	405643.791588006
Cell620	Cell620	Group1	372135.488310789
Cell621	Cell621	Group1	594257.940642757
Cell622	Cell622	Group1	511772.044014445
Cell623	Cell623	Group1	227790.755198567
Cell624	Cell624	Group1	415872.352170279
Cell625	Cell625	Group1	194798.194162378
Cell626	Cell626	Group1	477789.082249766
Cell627	Cell627	Group1	255350.691657355
Cell628	Cell628	Group1	430052.585216855
Cell629	Cell629	Group1	409255.674339342
Cell630	Cell630	Group1	280973.597767432
Cell631	Cell631	Group1	433454.236471209
Cell632	Cell632	Group1	462158.078041975
Cell633	Cell633	Group1	287620.233844253
Cell634	Cell634	Group1	657291.298300278
Cell635	Cell635	Group1	748448.521239752
Cell636	Cell636	Group1	223087.3344971
Cell637	Cell637	Group1	208427.887482248
Cell638	Cell638	Group1	445892.886427598
Cell639	Cell639	Group1	192386.780784537
Cell640	Cell640	Group1	252848.063272701
Cell641	Cell641	Group1	528775.255631219
Cell642	Cell642	Group1	235028.780908606
Cell643	Cell643	Group1	105812.875187561
Cell644	Cell644	Group1	487332.77597196
Cell645	Cell645	Group1	128185.353205409
Cell646	Cell646	Group1	148345.05326861
Cell647	Cell647	Group1	55681.9805194956
Cell648	Cell648	Group1	537666.404668705
Cell649	Cell649	Group1	382019.656670313
Cell650	Cell650	Group1	432632.998989496
Cell651	Cell651	Group1	541976.869517766
Cell652	Cell652	Group1	321443.776973129
Cell653	Cell653	Group1	171784.972593813
Cell654	Cell654	Group1	459286.353721982
Cell655	Cell655	Group1	710076.433941941
Cell656	Cell656	Group1	136149.632529922
Cell657	Cell657	Group1	230434.23913004
Cell658	Cell658	Group1	277378.835193572
Cell659	Cell659	Group1	154128.111877507
Cell660	Cell660	Group1	495938.831900868
Cell661	Cell661	Group1	231496.532793158
Cell662	Cell662	Group1	690905.956645957
Cell663	Cell663	Group1	340042.470975552
