Cell	ExpLibSize
Cell410	40870.7301811897
Cell411	52026.6884506858
Cell412	56258.5864489013
Cell413	42931.8216722241
Cell414	51528.6535551433
Cell415	51253.0110855575
Cell416	51817.6477317487
Cell417	38647.3342528259
Cell418	62485.1189176553
Cell419	52765.6353811629
Cell420	81153.5435589585
Cell421	70206.1497801678
Cell422	44770.0239850159
Cell423	61064.0800380332
Cell424	53169.7977765301
Cell425	71514.5520913653
Cell426	60513.0354685127
Cell427	53562.0072000001
Cell428	65360.8939806289
Cell429	61729.7726081204
Cell430	57934.9717404103
Cell431	89677.7639960039
Cell432	53858.8935315053
Cell433	54493.821399233
Cell434	43950.2070965434
Cell435	59390.802621545
Cell436	71544.2387475998
Cell437	39565.8807967683
Cell438	56953.3036007336
Cell439	47271.8336805595
Cell440	79888.5208924679
Cell441	78556.9491617982
Cell442	64016.7834563593
Cell443	79687.468264074
Cell444	50339.0516604665
Cell445	72412.2197344419
Cell446	53263.0273261374
Cell447	63843.59252991
Cell448	56394.1549606985
Cell449	56629.8428085633
Cell450	66784.2819485503
Cell451	46130.783880795
Cell452	56943.6298220132
Cell453	61957.3469427858
Cell454	55232.4821668268
Cell455	61140.6293002813
Cell456	56174.8171843589
Cell457	82757.405954707
Cell458	69067.3725038673
Cell459	108355.533250964
Cell460	51071.632195013
Cell461	70465.1248154958
Cell462	91090.2599973938
Cell463	63589.0147930766
Cell464	48213.0481366052
Cell465	48958.8534903298
Cell466	59451.5567125404
Cell467	77794.4112046731
Cell468	69569.4001986846
Cell469	39039.3868406422
Cell470	52048.3918975962
Cell471	59765.7901361345
Cell472	44728.8194175134
Cell473	68796.3471869479
Cell474	36597.4156032297
Cell475	61614.8352685662
Cell476	55367.9162644285
Cell477	54272.1879836419
Cell478	56572.0603832426
Cell479	63764.9509953773
Cell480	64813.2486286175
Cell481	57232.6178968342
Cell482	40741.8017317552
Cell483	44898.2519246056
Cell484	44625.844586257
Cell485	69729.0774198623
Cell486	57026.8223469994
Cell487	63192.1473411254
Cell488	43836.1674198911
Cell489	53792.1270811893
Cell490	67002.8473100265
Cell491	57776.3484942572
Cell492	58511.1610826255
Cell493	59017.40654595
Cell494	76281.2129891008
Cell495	52945.6195647182
Cell496	68543.5981863464
Cell497	71662.2881581428
Cell498	47199.3980963233
Cell499	61343.9462699446
Cell500	59739.914631829
Cell501	73557.9010059764
Cell502	71894.4948158902
Cell503	59844.7355668709
Cell504	61525.1867424085
Cell505	51842.6936756148
Cell506	57548.0272105903
Cell507	48735.2681416353
Cell508	49345.8437190452
Cell509	46903.0217603086
Cell510	70773.6150040493
Cell511	74831.5120770015
Cell512	55127.8895444116
Cell513	47772.4561106174
Cell514	58830.3839132482
Cell515	93749.418267105
Cell516	90062.8135448736
Cell517	42448.2061397971
Cell518	55749.218359993
Cell519	81361.3886407374
Cell520	59417.9222176461
Cell521	82411.6960735876
Cell522	56009.8541576633
Cell523	67575.2577071081
Cell524	62620.5168030923
Cell525	114212.256931975
Cell526	71976.180246667
Cell527	47037.1120012631
Cell528	53062.3951015714
Cell529	64475.9172391489
Cell530	40937.421329928
Cell531	41735.9443369477
Cell532	47840.8654384245
Cell533	55849.4009667701
Cell534	76709.4686142615
Cell535	56679.0814074326
Cell536	61850.5421356246
Cell537	59105.4619585008
Cell538	51997.5863736502
Cell539	78624.5643988505
Cell540	48083.6442739216
Cell541	57200.2356028655
Cell542	55850.535010969
Cell543	66597.7268058281
Cell544	82573.7334903202
Cell545	66354.2376087847
Cell546	78942.4695105763
Cell547	69746.2831233763
Cell548	52843.1352189758
Cell549	60858.6207232257
Cell550	78843.1584730018
Cell551	43815.6720956484
Cell552	63892.2999870036
Cell553	58025.7372394012
Cell554	71364.5675353338
Cell555	69566.1456587336
Cell556	63589.9476341089
Cell557	80705.5175820713
Cell558	44130.2708576411
Cell559	71836.1788401525
Cell560	43655.8945954405
Cell561	67342.2598813597
Cell562	60957.2732494488
Cell563	72653.1721419965
Cell564	60825.383377001
Cell565	43750.5749188972
Cell566	40072.0900883419
Cell567	66715.6411790123
Cell568	59001.8855220652
Cell569	53412.2992407419
Cell570	56262.6569966791
Cell571	52350.5114767113
Cell572	58019.3531913313
Cell573	49698.9450648469
Cell574	40271.4517701575
Cell575	57301.3830351207
Cell576	73795.6579795652
Cell577	87156.9602783987
Cell578	59905.3585994382
Cell579	58915.8841387795
Cell580	72591.016700416
Cell581	60519.0943496087
Cell582	54886.3695129066
Cell583	42299.92317892
Cell584	46502.4779797883
Cell585	64942.770188884
Cell586	44715.2196255847
Cell587	73842.6291092388
Cell588	45739.3333230065
Cell589	57600.4632033976
Cell590	59846.1755630267
Cell591	59720.7047941244
Cell592	61721.6144879247
Cell593	67487.8071871752
Cell594	58381.6853458864
Cell595	56970.7288991358
Cell596	61825.1475511836
Cell597	54900.163831887
Cell598	81428.6522924461
Cell599	38791.2771524017
Cell600	73526.4823110056
Cell601	56971.328606457
Cell602	65151.0746329315
Cell603	72950.0805935269
Cell604	70764.5631859206
Cell605	52464.6888099614
Cell606	81863.9415402652
Cell607	43278.2212035101
Cell608	71166.6276469256
Cell609	54050.7903381424
Cell610	40803.6572522672
Cell611	41226.5287687628
Cell612	62883.2940918561
Cell613	93405.6262272305
Cell614	63238.9199652296
Cell615	75068.5487862066
Cell616	70808.467841565
Cell617	52526.702820405
Cell618	72460.1616763243
Cell619	64253.4239956028
Cell620	62399.9565803731
Cell621	73146.725909542
Cell622	69528.3872866923
Cell623	52822.104750134
Cell624	64798.9538025296
Cell625	50089.4862214516
Cell626	67925.2885272523
Cell627	54910.4504324303
Cell628	65540.7738085355
Cell629	64447.0869691403
Cell630	56722.2881798238
Cell631	65716.3165886683
Cell632	67162.5611238345
Cell633	57174.3129365863
Cell634	75693.5704842439
Cell635	79105.7260656841
Cell636	52449.2727875558
Cell637	51252.8322380414
Cell638	66350.5756565173
Cell639	49878.1122073011
Cell640	54727.1516409818
Cell641	70304.1803044277
Cell642	53386.0433234665
Cell643	40715.9410374973
Cell644	68382.9064559613
Cell645	43455.4674205543
Cell646	45664.6588555696
Cell647	32741.9845360269
Cell648	70703.3026552244
Cell649	62957.7671429332
Cell650	65674.0200466336
Cell651	70895.2308680285
Cell652	59373.6435222957
Cell653	47996.5695131501
Cell654	67020.5877126769
Cell655	77704.8497819444
Cell656	44353.895196638
Cell657	53029.4210664314
Cell658	56474.8670316033
Cell659	46261.4061195058
Cell660	68790.5162870448
Cell661	53112.2894092227
Cell662	76986.1895914426
Cell663	60518.3317784914
Cell664	69259.7011837739
Cell665	81815.3054797094
Cell666	63140.9590159578
Cell667	74261.3013518395
Cell668	62451.1285305405
Cell669	44252.4180807423
Cell670	60143.0068009364
Cell671	69121.9241707132
Cell672	66031.7788972426
Cell673	57827.650974146
Cell674	46932.2383082918
Cell675	68137.2732639443
Cell676	49846.7607994253
Cell677	46613.026119553
Cell678	67439.4571779863
Cell679	46790.6121623364
Cell680	62873.0493698001
Cell681	59907.3473631929
Cell682	45906.3193386243
Cell683	75806.4971522297
Cell684	53180.0710151944
Cell685	76114.6216921867
Cell686	54447.5571945594
Cell687	53369.1733820529
Cell688	59501.3806269202
Cell689	55736.3937257536
Cell690	55752.6256163323
Cell691	50234.9924354555
Cell692	46977.3370964574
Cell693	67687.5351971071
Cell694	50958.1166276795
Cell695	45465.4790153168
Cell696	54091.3963676991
Cell697	51011.8329107606
Cell698	38616.8065238811
Cell699	56489.6418447715
Cell700	61909.8655142185
Cell701	63509.0993393288
Cell702	64766.7901370978
Cell703	49012.5299368074
Cell704	56097.9515192267
Cell705	48939.01640973
Cell706	52728.622239454
Cell707	47006.0625313553
Cell708	47892.1669054782
Cell709	67912.557158947
Cell710	56698.0833596811
Cell711	56853.4262904718
Cell712	84618.7909330506
Cell713	59178.9727011852
Cell714	53776.2523774546
Cell715	69526.0887791318
Cell716	54314.6046998125
Cell717	78793.166795745
Cell718	55518.1641333065
Cell719	52932.3243303576
Cell720	47399.8806517801
Cell721	63941.7679081748
Cell722	80282.1132043548
Cell723	55759.221905175
Cell724	63088.4840292744
Cell725	64001.7541804133
Cell726	79573.6787406359
Cell727	68375.8738660463
Cell728	48303.9670042405
Cell729	52084.3419960229
Cell730	51574.0495162511
Cell731	61593.6816981935
Cell732	59826.8930770504
Cell733	64446.2937063703
Cell734	52498.0558812409
Cell735	55532.8860652818
Cell736	69443.7264413991
Cell737	58693.1702352383
Cell738	52530.1213618052
Cell739	72709.9032352807
Cell740	60035.9760478905
Cell741	49845.9768289593
Cell742	84283.18958084
Cell743	47400.1087512483
Cell744	41931.5056412825
Cell745	38153.5280299609
Cell746	68201.7288972188
Cell747	53821.7788126092
Cell748	56663.6464841577
Cell749	63444.7923254911
Cell750	54540.7379989463
Cell751	43407.5194809765
Cell752	40539.9521946769
Cell753	55930.2141305498
Cell754	62003.4374645083
Cell755	37965.9311484962
Cell756	63456.1817934444
Cell757	65150.891840658
Cell758	77570.8873404391
Cell759	61879.4120826325
Cell760	62379.4247341835
Cell761	67570.0911384059
Cell762	59645.3724513931
Cell763	58927.1450693134
Cell764	61279.2700655492
Cell765	69482.8106933974
Cell766	54925.9876725178
Cell767	54181.4679716507
Cell768	50360.7602650039
Cell769	49436.7099374988
Cell770	63918.2367161795
Cell771	81591.0166760049
Cell772	49327.0596249627
Cell773	57659.5931268581
Cell774	48727.5456228985
Cell775	71798.3869116297
Cell776	56191.6600430014
Cell777	62056.5157580843
Cell778	64190.1876430506
Cell779	48491.5190043525
Cell780	58632.8936037636
Cell781	57201.2755292169
Cell782	68533.0310054004
Cell783	46786.5506484954
Cell784	47099.0302733079
Cell785	69784.9266825552
Cell786	53230.1597741623
Cell787	52467.0605725351
Cell788	61242.8694470821
Cell789	56157.7649530279
Cell790	86966.3289697591
Cell791	63064.0585495161
Cell792	61840.3915054749
Cell793	72129.25391778
Cell794	59160.5758262111
Cell795	60460.645213339
Cell796	48311.5006432493
Cell797	37850.7363803617
Cell798	47030.8303242389
Cell799	61256.2942234724
Cell800	48695.4358116638
Cell801	68717.6631343764
Cell802	69218.0263129837
Cell803	62534.6475040063
Cell804	57507.3850204332
Cell805	45563.4904999339
Cell806	56286.6395764176
Cell807	54689.0848444334
Cell808	68367.0203633244
Cell809	77786.7126756458
Cell810	66184.9293032743
Cell811	47779.0382976956
Cell812	83633.5020548239
Cell813	73282.0230793216
Cell814	62611.4998051723
Cell815	38511.1497158487
Cell816	49468.0792194751
Cell817	59058.5962349008
Cell818	69721.3024291117
Cell819	47288.3460314016
Cell820	113804.778639609
Cell821	35926.6640436773
Cell822	57114.4946467246
Cell823	56845.2232185036
Cell824	52434.8442896566
Cell825	56173.5822047783
Cell826	69458.1041302047
Cell827	50268.8794015036
Cell828	39475.568744719
Cell829	61007.5911541043
Cell830	59852.3537440894
Cell831	59717.4689929843
Cell832	68431.8483853035
Cell833	59716.6681801604
Cell834	69927.1598785121
Cell835	40048.757707374
Cell836	47780.0707204649
Cell837	64200.0914618948
Cell838	55793.9267913102
Cell839	72327.1545749788
Cell840	48974.5487798279
Cell841	69201.6888392456
Cell842	52377.555678347
Cell843	47924.9709259718
Cell844	55906.669434607
Cell845	60473.217776942
Cell846	46838.6318227973
Cell847	51389.9968060209
Cell848	46665.6481662589
Cell849	73376.1915038558
Cell850	69197.6737569566
Cell851	48702.9349212875
Cell852	66934.4593417193
Cell853	56890.5039131098
Cell854	47921.601310996
Cell855	65136.4440453631
Cell856	56129.114819731
Cell857	71398.7742089412
Cell858	57585.5690889822
Cell859	75933.3299234443
Cell860	54070.6658907685
Cell861	62561.7659032569
Cell862	64476.6798228016
Cell863	63311.4628076144
Cell864	62341.8661223011
Cell865	59718.7124423553
Cell866	58795.8762006029
Cell867	78669.142953272
Cell868	71799.0205642353
Cell869	52998.6841951578
Cell870	79164.8324322833
Cell871	61633.4286157411
Cell872	52674.0732973272
Cell873	61942.4156070388
Cell874	58021.128200611
Cell875	61095.1594678477
Cell876	49282.344352815
Cell877	50819.475950684
Cell878	78635.9138918647
Cell879	72567.626552352
Cell880	50174.1435930754
Cell881	50010.1656583887
Cell882	84513.5052957252
Cell883	87711.5117370101
Cell884	51255.169531905
Cell885	46144.771849426
Cell886	101184.314965498
Cell887	62688.0289697046
Cell888	62152.7272944121
Cell889	60792.8417707932
Cell890	79298.305348665
Cell891	57621.7599891115
Cell892	80167.8974726535
Cell893	57289.2863068496
Cell894	66239.2970777986
Cell895	48693.4887444287
Cell896	61950.7314624989
Cell897	76125.1238681267
Cell898	57949.0130201704
Cell899	77380.8933085087
Cell900	103304.816213889
Cell901	72285.934341972
Cell902	56969.8347912074
Cell903	61040.6779129642
Cell904	54896.9906973668
Cell905	92571.2200277874
Cell906	33131.6426552773
Cell907	60850.6419358456
Cell908	61207.6561351415
Cell909	62485.4910304696
Cell910	43845.8817870651
Cell911	62520.0328052616
Cell912	62164.0889175709
Cell913	77012.6077960038
Cell914	66483.1330536803
Cell915	74838.7333517991
Cell916	49439.2316804035
Cell917	58402.7866348975
Cell918	62214.7610077744
Cell919	63224.2652401482
Cell920	52116.5120392201
Cell921	80485.6658978245
Cell922	52978.772618366
Cell923	43353.2957188313
Cell924	64893.1936076797
Cell925	68385.1578424896
Cell926	72317.7884255096
Cell927	49550.5104023241
Cell928	56973.544651372
Cell929	45904.237235746
Cell930	70894.8270340019
Cell931	64185.9325486307
Cell932	71879.940798846
Cell933	67619.7183236789
Cell934	53023.4953312538
Cell935	62064.6345762782
Cell936	40876.8070385486
Cell937	66210.1631164101
Cell938	72676.9699020944
Cell939	50254.3593225121
Cell940	39057.6911468706
Cell941	44153.8093226142
Cell942	47924.223166437
Cell943	76741.4132036128
Cell944	59915.8518113777
Cell945	46743.9952586214
Cell946	66912.4162977318
Cell947	38691.3031952979
Cell948	56987.9492945751
Cell949	74799.8669724114
Cell950	55919.3276046548
Cell951	77737.0820078355
Cell952	85739.1455310948
Cell953	47402.628252233
Cell954	47550.2571049745
Cell955	49866.7090671378
Cell956	66552.4479326053
Cell957	70757.6392831234
Cell958	76254.1710156614
Cell959	77644.3845935165
Cell960	74246.5403407481
Cell961	72255.2454485152
Cell962	61862.8389716234
Cell963	50129.8685600328
Cell964	51780.4427283077
Cell965	64959.5080134788
Cell966	83843.5019270281
Cell967	84220.6959124828
Cell968	40731.8923268611
Cell969	50675.6296729204
Cell970	79524.9830332869
Cell971	48396.2716153164
Cell972	43359.6474582002
Cell973	67505.3557217844
Cell974	84676.4617902877
Cell975	88159.3201219412
Cell976	66606.943985117
Cell977	69143.0724928043
Cell978	66971.2483489724
Cell979	59657.9450824426
Cell980	30505.1921791752
Cell981	69712.8993320606
Cell982	55367.8638518976
Cell983	73275.4014882545
Cell984	52817.8969995226
Cell985	43177.9197254033
Cell986	76806.8056470856
Cell987	62085.9807309737
Cell988	120458.533552907
Cell989	71906.2439920609
Cell990	73843.354945555
Cell991	69756.4373643495
Cell992	53067.6357208101
Cell993	55598.6426660431
Cell994	74010.7171215351
Cell995	73940.9518710352
Cell996	67278.3945553513
Cell997	49152.6732093134
Cell998	83861.7058659422
Cell999	45553.0013052622
Cell1000	54904.8590176456
Cell1001	95321.5982943925
Cell1002	66491.1700237683
Cell1003	72703.6365275081
Cell1004	64562.86500955
Cell1005	49060.686986058
Cell1006	53130.3399239267
Cell1007	61886.063295044
Cell1008	33333.0462673151
Cell1009	50534.7832141853
Cell1010	70243.0677382808
Cell1011	56404.7583822509
Cell1012	56572.4685578635
Cell1013	71246.705704078
Cell1014	53697.8876211945
Cell1015	67897.9177785283
Cell1016	45050.2182846473
Cell1017	46840.2180698182
Cell1018	42837.9168395292
Cell1019	60893.3770436889
Cell1020	57456.0086609213
Cell1021	79887.4723667487
Cell1022	59375.8928871314
Cell1023	78491.9142713624
Cell1024	88348.5490784486
Cell1025	54274.6395344292
Cell1026	64711.0862918505
Cell1027	50565.3252263545
Cell1028	69396.941406706
Cell1029	48245.0221583905
Cell1030	48761.9329410815
Cell1031	63434.2155512155
Cell1032	60971.5270100632
Cell1033	63103.0659023771
Cell1034	60710.1987911997
Cell1035	53866.8875111668
Cell1036	58335.118527407
Cell1037	82787.4491749422
Cell1038	59660.2337045811
Cell1039	45995.6506636194
Cell1040	50568.6939864221
Cell1041	48032.6864335115
Cell1042	50010.185386691
Cell1043	46526.7742426078
Cell1044	35412.856795648
Cell1045	68446.8732152857
Cell1046	68323.4484286009
Cell1047	56947.2063319689
Cell1048	51804.9268474225
Cell1049	50897.2245493431
Cell1050	64844.4670692674
Cell1051	62649.6087176184
Cell1052	65142.2563010997
Cell1053	59932.1032977925
Cell1054	67764.7063456972
Cell1055	65266.0184731206
Cell1056	66947.3972299629
Cell1057	66117.7324005518
Cell1058	83481.2344277214
Cell1059	48484.1916076289
Cell1060	80956.3125854743
Cell1061	56002.8728149807
Cell1062	59101.0429966727
Cell1063	60852.9944612255
Cell1064	54740.3863725721
Cell1065	35926.7926662857
Cell1066	56241.6853407422
Cell1067	60371.7542942324
Cell1068	42296.2787238262
Cell1069	66835.3848058995
Cell1070	53132.5631612167
Cell1071	79981.3179858033
Cell1072	63131.4047522671
Cell1073	51135.9697948716
Cell1074	61916.7762730345
Cell1075	63039.4891957888
Cell1076	71855.2870599845
Cell1077	58024.784863798
